,名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03,利き手,攻守
8,Abyell,03:10.0,00:09.1,0:00,0:00,RedELF,#08,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,B,ミユータ,B,R,攻撃
9,Abyell,03:32.7,00:08.0,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,F,Push,B,R,攻撃
14,Abyell,04:48.1,00:07.5,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Push,BM,L,攻撃
15,Abyell,05:05.7,00:07.7,0:00,0:00,RedELF,#02,NAGASAKI Miyu,Side,B,B,MAEDA Miyu,B,ドライブ,BM,L,攻撃
18,Abyell,06:03.8,00:09.0,0:00,0:00,RedELF,#06,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,F,ドライブ,B,R,攻撃
19,Abyell,06:26.0,00:06.1,0:00,0:00,RedELF,#02,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,F,Stop,BMS,R,攻撃
22,Abyell,08:39.9,00:08.3,1:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,F,Push,F,R,攻撃
23,Abyell,08:57.5,00:06.5,1:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,B,Chiquita,BM,R,攻撃
26,Abyell,09:55.2,00:06.7,1:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,BMS,AKAE Kaho,B,Push,B,L,攻撃
27,Abyell,10:10.1,00:07.2,1:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,BS,AKAE Kaho,B,ミユータ,F,L,攻撃
30,Abyell,11:00.7,00:05.3,1:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,B,Chiquita,B,R,攻撃
31,Abyell,11:15.4,00:05.7,1:00,0:00,RedELF,#02,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,B,Push,BM,R,攻撃
34,Abyell,13:27.6,00:09.5,1:00,0:01,Abyell,#07,NAGASAKI Miyu,Side,B,FMS,AKAE Kaho,F,Push,B,L,攻撃
35,Abyell,13:45.3,00:09.0,1:00,0:01,Abyell,#07,NAGASAKI Miyu,Side,B,FMS,AKAE Kaho,F,Push,BM,L,攻撃
38,Abyell,16:07.7,00:07.2,1:01,0:01,Abyell,#01,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,F,空振り,,R,攻撃
39,Abyell,16:27.3,00:05.6,1:01,0:01,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,F,Push,B,R,攻撃
43,Abyell,17:40.3,00:11.5,1:01,0:01,RedELF,#08,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Stop,BMS,L,攻撃
44,Abyell,18:15.8,00:08.7,1:01,0:01,RedELF,#04,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Push,B,L,攻撃
47,Abyell,19:38.3,00:10.0,1:01,0:01,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,B,Push,BM,R,攻撃
49,Abyell,20:34.7,00:09.1,1:01,0:01,RedELF,#04,NAGASAKI Miyu,Side,B,BS,MAEDA Miyu,B,Flick,BM,L,攻撃
51,Abyell,23:03.0,00:07.1,1:01,1:01,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,B,Push,B,R,攻撃
2,Abyell,00:56.6,00:07.2,0:00,0:00,Mallets,#04,NAGASAKI Miyu,Side,B,BMS,NAGAO TAKAKO,F,Stop,FMS,L,攻撃
3,Abyell,01:13.9,00:06.4,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,BMS,NAGAO TAKAKO,F,Push,BM,L,攻撃
6,Abyell,02:11.1,00:06.9,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Push,B,R,攻撃
7,Abyell,02:27.1,00:05.7,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,B,Chiquita,F,R,攻撃
10,Abyell,03:18.4,00:06.7,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,F,Push,オーバーミス,L,攻撃
11,Abyell,03:34.9,00:07.1,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,F,ドライブ,B,L,攻撃
14,Abyell,04:38.4,00:06.5,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Push,BM,R,攻撃
15,Abyell,04:53.5,00:04.7,0:00,0:00,,SV Let,HAMAMOTO Yui,(Side),F,,FENG Tianwei,,,,R,攻撃
16,Abyell,05:03.7,00:06.3,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Flick,BM,R,攻撃
18,Abyell,07:01.7,00:07.0,0:01,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Push,BM,R,攻撃
19,Abyell,07:17.5,00:05.8,0:01,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,ドライブ,オーバーミス,R,攻撃
23,Abyell,08:24.8,00:06.4,0:01,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,FMS,FENG Tianwei,F,Stop,FMS,L,攻撃
24,Abyell,08:42.4,00:05.5,0:01,0:00,Abyell,#01,NAGASAKI Miyu,Back,B,FMS,FENG Tianwei,F,Stop,ネット,L,攻撃
28,Abyell,11:06.4,00:05.9,0:01,1:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,B,Chiquita,B,R,攻撃
29,Abyell,11:22.4,00:07.7,0:01,1:00,Mallets,#04,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Stop,FS,R,攻撃
32,Abyell,13:30.8,00:06.5,0:01,1:01,Mallets,#02,NAGASAKI Miyu,Side,B,FMS,FENG Tianwei,F,Stop,FMS,L,攻撃
33,Abyell,13:51.3,00:06.6,0:01,1:01,Abyell,#03,NAGASAKI Miyu,Back,B,FMS,FENG Tianwei,F,Push,FM,L,攻撃
36,Abyell,14:57.9,00:07.5,0:01,1:01,Mallets,#04,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Push,F,R,攻撃
37,Abyell,15:20.2,00:07.5,0:01,1:01,Mallets,#02,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,ドライブ,B,R,攻撃
40,Abyell,16:42.6,00:07.6,0:01,1:01,Mallets,#04,NAGASAKI Miyu,Back,B,FMS,FENG Tianwei,F,ドライブ,BM,L,攻撃
43,Abyell,19:14.3,00:06.8,1:01,1:01,Mallets,#04,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,B,Chiquita,BM,R,攻撃
44,Abyell,19:38.9,00:07.0,1:01,1:01,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Push,BS,R,攻撃
47,Abyell,21:03.2,00:06.2,1:01,1:01,Abyell,#01,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,F,Push,ネット,L,攻撃
48,Abyell,21:24.1,00:06.6,1:01,1:01,Abyell,#01,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,F,Push,オーバーミス,L,攻撃
2,Abyell,02:35.7,00:06.5,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,FS,LIN Ye,B,Push,B,L,攻撃
3,Abyell,02:49.3,00:06.4,0:00,0:00,TOP,#02,NAGASAKI Miyu,Back,B,FMS,LIN Ye,F,Stop,BMS,L,攻撃
6,Abyell,03:37.8,00:05.4,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Stop,FS,R,攻撃
7,Abyell,03:50.8,00:05.0,0:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Stop,,R,攻撃
10,Abyell,04:36.3,00:06.8,0:00,0:00,TOP,#02,NAGASAKI Miyu,Back,B,FS,LIN Ye,B,Push,B,L,攻撃
11,Abyell,04:53.0,00:05.8,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Side,B,FMS,LIN Ye,B,Stop,,L,攻撃
14,Abyell,05:44.3,00:08.8,0:00,0:00,TOP,#06,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Stop,FMS,R,攻撃
15,Abyell,06:05.4,00:08.5,0:00,0:00,Abyell,#07,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Stop,FS,R,攻撃
16,Abyell,07:53.3,00:05.3,1:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,LIN Ye,B,Push,F,R,攻撃
17,Abyell,08:06.9,00:05.3,1:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,LIN Ye,B,Chiquita,B,R,攻撃
20,Abyell,09:00.4,00:06.5,1:00,0:00,TOP,#02,NAGASAKI Miyu,Side,B,BMS,SUZUKI Rika,F,Stop,BMS,L,攻撃
21,Abyell,09:18.0,00:06.3,1:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,BS,SUZUKI Rika,F,Push,BM,L,攻撃
24,Abyell,11:47.2,00:07.0,1:00,0:01,TOP,#04,HAMAMOTO Yui,(Side),F,FMS,LIN Ye,B,Chiquita,F,R,攻撃
25,Abyell,12:05.6,00:07.5,1:00,0:01,TOP,#04,HAMAMOTO Yui,(Side),F,FMS,LIN Ye,B,Chiquita,B,R,攻撃
28,Abyell,13:02.2,00:07.7,1:00,0:01,Abyell,#05,NAGASAKI Miyu,Back,B,BMS,SUZUKI Rika,B,Chiquita,F,L,攻撃
29,Abyell,13:20.3,00:05.4,1:00,0:01,Abyell,#03,NAGASAKI Miyu,Back,B,BMS,SUZUKI Rika,B,Flick,B,L,攻撃
32,Abyell,15:39.1,00:08.2,1:00,1:01,Abyell,#05,HAMAMOTO Yui,Back,F,FS,LIN Ye,F,Stop,BS,R,攻撃
33,Abyell,16:00.9,00:06.5,1:00,1:01,Abyell,#01,HAMAMOTO Yui,(Side),F,FS,LIN Ye,B,Chiquita,,R,攻撃
2,Abyell,02:08.1,00:08.1,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Side,B,BS,MAEDA Miyu,B,Stop,BMS,L,攻撃
3,Abyell,02:26.1,00:08.4,0:00,0:00,Abyell,#09-,NAGASAKI Miyu,Side,B,BS,MAEDA Miyu,B,Flick,B,L,攻撃
6,Abyell,03:15.6,00:05.9,0:00,0:00,Abyell,#03,KIHARA Miyuu,(Side),F,FMS,AKAE Kaho,F,Push,BM,R,攻撃
7,Abyell,03:27.7,00:05.3,0:00,0:00,Abyell,#01,KIHARA Miyuu,(Side),F,FMS,AKAE Kaho,F,Stop,,R,攻撃
10,Abyell,04:00.1,00:05.8,0:00,0:00,RedELF,#04,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Push,B,L,攻撃
11,Abyell,04:13.7,00:07.6,0:00,0:00,RedELF,#02,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Stop,BMS,L,攻撃
14,Abyell,04:52.8,00:04.8,0:00,0:00,RedELF,#02,KIHARA Miyuu,(Side),F,FMS,AKAE Kaho,F,Push,F,R,攻撃
15,Abyell,05:04.2,00:06.3,0:00,0:00,Abyell,#03,KIHARA Miyuu,(Side),F,FMS,AKAE Kaho,F,Push,F,R,攻撃
16,Abyell,06:40.9,00:05.2,0:01,0:00,Abyell,#01,KIHARA Miyuu,(Side),F,BMS,MAEDA Miyu,B,Flick,,R,攻撃
17,Abyell,06:52.2,00:05.3,0:01,0:00,Abyell,#03,KIHARA Miyuu,(Side),F,BMS,MAEDA Miyu,B,Stop,FMS,R,攻撃
20,Abyell,07:34.3,00:08.3,0:01,0:00,Abyell,#05,NAGASAKI Miyu,Side,B,FS,AKAE Kaho,B,Push,BM,L,攻撃
21,Abyell,07:51.1,00:05.9,0:01,0:00,RedELF,#02,NAGASAKI Miyu,Back,B,FMS,AKAE Kaho,F,Push,,L,攻撃
24,Abyell,08:43.1,00:05.6,0:01,0:00,Abyell,#03,KIHARA Miyuu,(Side),F,BMS,MAEDA Miyu,B,Flick,B,R,攻撃
25,Abyell,08:57.8,00:05.3,0:01,0:00,Abyell,#03,KIHARA Miyuu,(Side),F,BMS,MAEDA Miyu,B,Stop,FMS,R,攻撃
28,Abyell,11:04.0,00:06.3,0:01,1:00,RedELF,#04,NAGASAKI Miyu,Side,B,BS,AKAE Kaho,B,Chiquita,BM,L,攻撃
29,Abyell,11:22.6,00:08.4,0:01,1:00,Abyell,#05,NAGASAKI Miyu,Side,B,FS,AKAE Kaho,B,ミユータ,FS,L,攻撃
32,Abyell,12:19.9,00:05.6,0:01,1:00,Abyell,#01,KIHARA Miyuu,(Side),F,BMS,MAEDA Miyu,F,Push,,R,攻撃
33,Abyell,12:33.0,00:05.9,0:01,1:00,RedELF,#00,KIHARA Miyuu,(Side),,,MAEDA Miyu,,,,R,攻撃
2,Abyell,02:13.4,00:06.9,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FMS,FENG Tianwei,F,Stop,FMS,L,攻撃
3,Abyell,02:28.6,00:10.9,0:00,0:00,Mallets,#08,NAGASAKI Miyu,Side,B,FS,FENG Tianwei,F,Stop,FMS,L,攻撃
6,Abyell,03:36.1,00:06.7,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),B,BMS,NAGAO TAKAKO,B,Chiquita,BM,R,攻撃
7,Abyell,03:54.9,00:05.7,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,B,Chiquita,B,R,攻撃
10,Abyell,04:49.8,00:06.9,0:00,0:00,Mallets,#02,NAGASAKI Miyu,Side,B,FMS,FENG Tianwei,F,Stop,BMS,L,攻撃
11,Abyell,05:16.7,00:08.0,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Side,B,FS,FENG Tianwei,F,Stop,BMS,L,攻撃
14,Abyell,06:33.3,00:05.5,0:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Stop,,R,攻撃
15,Abyell,06:49.7,00:06.1,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Stop,FS,R,攻撃
18,Abyell,07:48.9,00:06.2,0:00,0:00,Mallets,#02,NAGASAKI Miyu,Side,B,FMS,FENG Tianwei,B,Chiquita,BM,L,攻撃
19,Abyell,08:05.2,00:07.2,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FS,FENG Tianwei,F,Push,FM,L,攻撃
20,Abyell,09:56.2,00:05.1,0:01,0:00,Abyell,#03,HAMAMOTO Yui,(Side),B,BMS,FENG Tianwei,B,Chiquita,BM,R,攻撃
21,Abyell,10:09.7,00:05.2,0:01,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,B,Chiquita,B,R,攻撃
24,Abyell,12:05.3,00:07.7,0:01,1:00,Abyell,#05,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,B,Push,B,L,攻撃
25,Abyell,12:22.5,00:07.2,0:01,1:00,Mallets,#04,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,F,Stop,BMS,L,攻撃
29,Abyell,13:59.2,00:07.3,0:01,1:00,Mallets,#04,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Stop,FMS,R,攻撃
30,Abyell,14:16.8,00:05.9,0:01,1:00,Mallets,#02,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,B,Chiquita,F,R,攻撃
33,Abyell,16:39.4,00:06.9,0:01,1:01,Abyell,#03,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,B,Push,BM,L,攻撃
34,Abyell,16:57.0,00:07.5,0:01,1:01,Mallets,#04,NAGASAKI Miyu,Back,B,BS,NAGAO TAKAKO,F,Push,BMS,L,攻撃
37,Abyell,18:03.2,00:08.4,0:01,1:01,Mallets,#04,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Stop,BS,R,攻撃
38,Abyell,18:27.4,00:06.7,0:01,1:01,Abyell,#01,HAMAMOTO Yui,(Side),B,FMS,FENG Tianwei,B,Chiquita,B,R,攻撃
2,Abyell,01:44.5,00:06.5,0:00,0:00,RedELF,#02,NAGASAKI Miyu,Side,B,BMS,MAEDA Miyu,B,Flick,F,L,攻撃
3,Abyell,02:00.5,00:07.2,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Side,B,BMS,MAEDA Miyu,B,Stop,BMS,L,攻撃
6,Abyell,02:55.6,00:06.4,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,HIRANO Miu,F,Stop,FMS,R,攻撃
7,Abyell,03:13.4,00:04.7,0:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,BMS,HIRANO Miu,B,Chiquita,,R,攻撃
10,Abyell,04:07.9,00:11.1,0:00,0:00,Abyell,#09-,NAGASAKI Miyu,Side,B,BS,MAEDA Miyu,B,Push,B,L,攻撃
11,Abyell,04:32.9,00:06.4,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Side,B,BS,MAEDA Miyu,B,Chiquita,,L,攻撃
15,Abyell,05:33.9,00:03.7,0:00,0:00,RedELF,#02,HAMAMOTO Yui,(Side),F,FS,HIRANO Miu,F,Push,,R,攻撃
16,Abyell,05:50.8,00:05.5,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,HIRANO Miu,F,Flick,F,R,攻撃
17,Abyell,07:45.4,00:05.7,0:01,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,B,Stop,FS,R,攻撃
18,Abyell,08:00.2,00:05.6,0:01,0:00,RedELF,#02,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,B,Chiquita,B,R,攻撃
21,Abyell,08:52.5,00:06.9,0:01,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FMS,HIRANO Miu,F,Stop,FMS,L,攻撃
22,Abyell,09:11.2,00:08.2,0:01,0:00,RedELF,#04,NAGASAKI Miyu,Back,B,FMS,HIRANO Miu,F,Stop,BMS,L,攻撃
25,Abyell,10:14.4,00:05.3,0:01,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,B,ドライブ,,R,攻撃
26,Abyell,10:31.2,00:05.1,0:01,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,B,Chiquita,BMS,R,攻撃
29,Abyell,11:29.2,00:06.9,0:01,0:00,Abyell,#03,NAGASAKI Miyu,(Side),B,FMS,HIRANO Miu,F,Push,B,L,攻撃
30,Abyell,11:49.7,00:06.1,0:01,0:00,RedELF,#02,NAGASAKI Miyu,Back,B,FMS,HIRANO Miu,F,Stop,FMS,L,攻撃
33,Abyell,14:11.5,00:06.1,0:01,0:01,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,B,Stop,FS,R,攻撃
34,Abyell,14:27.4,00:05.9,0:01,0:01,RedELF,#02,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,B,Chiquita,FMS,R,攻撃
2,Abyell,01:06.9,00:07.1,0:00,0:00,RedELF,#04,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,B,Stop,BMS,L,攻撃
3,Abyell,01:24.1,00:08.5,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,B,Flick,F,L,攻撃
6,Abyell,02:19.3,00:05.7,0:00,0:00,RedELF,#02,HAMAMOTO Yui,(Side),F,FS,HIRANO Miu,F,Stop,FS,R,攻撃
7,Abyell,02:36.2,00:05.9,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,HIRANO Miu,F,Stop,FMS,R,攻撃
10,Abyell,03:28.0,00:08.8,0:00,0:00,RedELF,#06,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,F,Push,B,L,攻撃
11,Abyell,03:51.1,00:08.2,0:00,0:00,RedELF,#06,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,B,Flick,B,L,攻撃
14,Abyell,04:55.5,00:07.2,0:00,0:00,RedELF,#06,HAMAMOTO Yui,(Side),F,FS,HIRANO Miu,F,Stop,FMS,R,攻撃
15,Abyell,05:17.0,00:06.2,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,HIRANO Miu,F,Push,B,R,攻撃
