,名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03,利き手,攻守
0,Abyell,00:51.3,00:05.7,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,YAMAMOTO Syoko,F,Stop,BMS,R,攻撃
1,Abyell,01:03.3,00:04.9,0:00,0:00,TOP,#02,HAMAMOTO Yui,(Side),F,FMS,YAMAMOTO Syoko,F,Flick,B,R,攻撃
5,Abyell,01:51.4,00:06.2,0:00,0:00,TOP,#02,NAGASAKI Miyu,(Side),B,BMS,SUZUKI Rika,F,Stop,BMS,L,攻撃
6,Abyell,02:09.9,00:07.7,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Back,B,BMS,SUZUKI Rika,F,Stop,FMS,L,攻撃
9,Abyell,02:56.3,00:05.3,0:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,FMS,YAMAMOTO Syoko,F,Stop,,R,攻撃
10,Abyell,03:07.1,00:05.7,0:00,0:00,TOP,#02,HAMAMOTO Yui,(Side),F,FMS,YAMAMOTO Syoko,F,Push,FM,R,攻撃
14,Abyell,03:57.8,00:09.7,0:00,0:00,TOP,#06,NAGASAKI Miyu,Side,B,BS,SUZUKI Rika,F,Stop,BS,L,攻撃
15,Abyell,04:20.8,00:07.0,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,BMS,SUZUKI Rika,F,Push,BMS,L,攻撃
18,Abyell,05:06.4,00:05.9,0:00,0:00,TOP,#04,HAMAMOTO Yui,(Side),F,FMS,YAMAMOTO Syoko,F,Push,FM,R,攻撃
19,Abyell,05:24.4,00:04.1,0:00,0:00,TOP,#02,HAMAMOTO Yui,(Side),F,FS,YAMAMOTO Syoko,F,Stop,,R,攻撃
23,Abyell,07:59.4,00:04.9,1:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Stop,,R,攻撃
24,Abyell,08:10.9,00:07.3,1:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,BS,SUZUKI Rika,F,Stop,FMS,R,攻撃
27,Abyell,10:18.7,00:07.3,1:00,0:01,Abyell,#05,NAGASAKI Miyu,Side,B,FMS,YAMAMOTO Syoko,F,Flick,BM,L,攻撃
28,Abyell,10:32.4,00:07.0,1:00,0:01,Abyell,#05,NAGASAKI Miyu,Side,B,FMS,YAMAMOTO Syoko,F,Push,BMS,L,攻撃
32,Abyell,11:26.9,00:09.8,1:00,0:01,TOP,#10-,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Stop,FMS,R,攻撃
33,Abyell,11:50.1,00:04.3,1:00,0:01,Abyell,#01,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,ドライブ,,R,攻撃
36,Abyell,12:38.7,00:06.7,1:00,0:01,Abyell,#03,NAGASAKI Miyu,Side,B,FS,YAMAMOTO Syoko,F,Flick,F,L,攻撃
37,Abyell,12:53.9,00:05.2,1:00,0:01,Abyell,#01,NAGASAKI Miyu,Side,B,FMS,YAMAMOTO Syoko,F,Push,,L,攻撃
3,Abyell,01:47.1,00:07.9,0:00,0:00,Abyell,#07,NAGASAKI Miyu,Back,B,FMS,AKAE Kaho,F,Stop,BMS,L,攻撃
4,Abyell,02:03.6,00:07.5,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Back,B,FS,AKAE Kaho,F,Push,B,L,攻撃
7,Abyell,02:53.8,00:04.7,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BS,YUMOTO Fuwa,B,Chiquita,FM,R,攻撃
8,Abyell,03:07.4,00:03.9,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,YUMOTO Fuwa,B,Chiquita,BM,R,攻撃
11,Abyell,03:48.5,00:07.1,0:00,0:00,RedELF,#04,NAGASAKI Miyu,Back,B,FS,AKAE Kaho,F,Push,B,L,攻撃
12,Abyell,04:05.3,00:05.7,0:00,0:00,RedELF,#02,NAGASAKI Miyu,Side,B,FMS,AKAE Kaho,F,Push,F,L,攻撃
15,Abyell,04:47.3,00:06.4,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,YUMOTO Fuwa,B,Chiquita,F,R,攻撃
16,Abyell,06:20.0,00:04.3,1:00,0:00,RedELF,#02,HAMAMOTO Yui,(Side),F,BS,AKAE Kaho,B,Chiquita,F,R,攻撃
17,Abyell,06:32.4,00:07.4,1:00,0:00,Abyell,#07,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,F,Stop,FMS,R,攻撃
20,Abyell,07:09.6,00:05.8,1:00,0:00,Abyell,#01,NAGASAKI Miyu,Side,B,BMS,YUMOTO Fuwa,B,Chiquita,ネット,L,攻撃
21,Abyell,07:25.2,00:07.5,1:00,0:00,RedELF,#04,NAGASAKI Miyu,(Side),B,BS,YUMOTO Fuwa,B,Push,B,L,攻撃
24,Abyell,08:20.1,00:06.0,1:00,0:00,RedELF,#02,HAMAMOTO Yui,(Side),F,FS,AKAE Kaho,B,Chiquita,FM,R,攻撃
25,Abyell,08:38.3,00:05.6,1:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,B,Chiquita,F,R,攻撃
28,Abyell,09:24.2,00:09.0,1:00,0:00,RedELF,#04,NAGASAKI Miyu,Side,B,BS,YUMOTO Fuwa,B,Push,B,L,攻撃
29,Abyell,09:43.2,00:10.7,1:00,0:00,Abyell,#07,NAGASAKI Miyu,Back,B,BMS,YUMOTO Fuwa,B,Push,B,L,攻撃
32,Abyell,10:39.4,00:07.5,1:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,F,Stop,BMS,R,攻撃
33,Abyell,11:00.6,00:06.1,1:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,B,Chiquita,ネット,R,攻撃
0,Abyell,01:09.1,00:05.7,0:00,0:00,TOP,#04,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Push,BM,R,攻撃
1,Abyell,01:22.8,00:06.1,0:00,0:00,TOP,#02,HAMAMOTO Yui,(Side),F,BS,SUZUKI Rika,F,Stop,FS,R,攻撃
4,Abyell,02:06.7,00:09.4,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,FMS,ANDO Minami,F,Push,F,L,攻撃
5,Abyell,02:23.2,00:08.1,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,FMS,ANDO Minami,F,Push,F,L,攻撃
8,Abyell,03:16.3,00:06.5,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Stop,FS,R,攻撃
9,Abyell,03:36.0,00:06.9,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Stop,FMS,R,攻撃
12,Abyell,04:38.3,00:11.7,0:00,0:00,TOP,#10-,NAGASAKI Miyu,Back,B,FMS,ANDO Minami,F,Push,B,L,攻撃
13,Abyell,05:07.4,00:08.9,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FMS,ANDO Minami,B,Stop,BS,L,攻撃
16,Abyell,05:56.9,00:08.5,0:00,0:00,TOP,#08,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Stop,FMS,R,攻撃
17,Abyell,06:19.3,00:06.7,0:00,0:00,TOP,#04,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Push,BMS,R,攻撃
22,Abyell,09:06.3,00:06.2,0:01,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FS,ANDO Minami,F,Stop,FMS,R,攻撃
23,Abyell,09:21.4,00:04.7,0:01,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,FMS,ANDO Minami,F,Flick,,R,攻撃
27,Abyell,10:21.7,00:05.3,0:01,0:00,Abyell,#01,NAGASAKI Miyu,Side,B,BMS,SUZUKI Rika,F,Stop,,L,攻撃
28,Abyell,10:33.1,00:06.8,0:01,0:00,TOP,#02,NAGASAKI Miyu,Side,B,BS,SUZUKI Rika,F,Push,B,L,攻撃
31,Abyell,11:24.1,00:05.5,0:01,0:00,TOP,#02,HAMAMOTO Yui,(Side),F,FMS,ANDO Minami,F,ドライブ,B,R,攻撃
32,Abyell,11:38.8,00:10.1,0:01,0:00,Abyell,#07,HAMAMOTO Yui,(Side),F,FMS,ANDO Minami,F,Push,BMS,R,攻撃
35,Abyell,12:43.2,00:10.0,0:01,0:00,TOP,#08,NAGASAKI Miyu,Side,B,BS,SUZUKI Rika,F,Push,B,L,攻撃
36,Abyell,14:35.9,00:07.0,0:01,1:00,TOP,#02,NAGASAKI Miyu,(Side),B,BMS,SUZUKI Rika,B,Flick,B,L,攻撃
